,Doctor name,Specialty,Overall rating,No. of reviews,Reviews,Review rating
0,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Quel cadeau du ciel! Je n'arrive toujours pas à croire que je peux enfin vivre sans lunettes ni verres de contacts, et je n'ai jamais aussi bien vu. Ce fut d'abord un peu stressant mais Dr Mullie explique en détail les étapes de la chirurgie, ce qui donne un sentiment de confiance et de sécurité, par la suite j'étais parfaitement à l'aise et en confiance durant le processus qui n'a duré que quelques minutes. L'équipement était à la fine pointe, digne d'un film science fiction.

Cela se voit que Dr Mullie est pionnier dans son expertise, tout est clair et bien expliqué en quoi le LASIK consiste et à quoi s'attendre. Si vous recherchez un chirurgien de fiable, expérimenté et attentionné, c'est avec lui qu'il faut faire l'intervention, vraiment le meilleur.

À ce jour, ce fut mon meilleur accomplissement. Merci infiniment Dr Mullie pour avoir réalisé mon rêve datant de plusieurs années. Moi 2.0!

Vincent D.",5.0
1,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Super médecin, je me suis sentie une vraie patiente et non une cliente ou un numéro. 

Il prend son temps pour expliquer et répondre à nos doutes, craintes, questions. Son staff m'a reçu avec un sourire. La compétence est au rendez-vous ce qui aspire une réelle confiance. Chirugie faite, les rdv de suivis aussi se font avec une ponctualité, un sourire. Je recommande à 120 %",5.0
2,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Dr. Marc Mullie and his team provided exceptional care throughout my LASIK journey. From the initial consultation to post-operative follow-up, their professionalism and expertise were evident. I highly recommend Dr. Marc Mullie for anyone considering LASIK surgery.",5.0
3,Dr. Marc Mullie,Ophthalmologist,4.9,267,"I had my laser surgery with Dr. Mullie 5 days ago at Laservue and I am amazed at how fast and relatively painless the surgery was. I was nervous at first but Dr. Mullie was exceptionally kind throughout the whole process. He took the time to gently speak to me before the surgery, during to help me stay relaxed and also immediately after to ensure I knew how to proceed for the next 24 hours until the follow-up appointment. Dr. Mullie's expertise is showcased in how incredibly meticulous and personal he is, and so is his entire team! He cares about the details and about his patients which was evident to me in each pre-op and post-op visit done personally with him. As a result, I knew I was in very good hands from start to finish. 

Since then I am amazed at how well I can see and how great the experience was, I very highly recommend having your surgery with Dr. Mullie! Thank you so much!",5.0
4,Dr. Marc Mullie,Ophthalmologist,4.9,267,je cherchais le Dr Guilliaume A Mullie MD CM FRCSC pour le remercier des soins qu il m a apporté durand la chirurgie qui me redonne la vision de ma jeunesse......Dr G A Mullie exerce sa profession chez OPHTALMO LAVAL 450 682 4555 encore une fois félicitation et merci Jean Dubreuil 450 314 1483,5.0
5,Dr. Marc Mullie,Ophthalmologist,4.9,267,"J’ai eu la meilleure expérience avec Dr Mullie! Ce médecin est cordial, rassurant et je suis ravie des résultats. Je le recommande fortement.",5.0
6,Dr. Marc Mullie,Ophthalmologist,4.9,267,"My laser vision correction experience with Dr Mullie was outstanding. From the consultation, to the surgery, to the post-operative appointment, he showed patience and expertise which was extremely reassuring. I decided to go ahead with Dr Mullie after seeing his online reviews, and I couldn't be more pleased with the results. Almost two weeks after the surgery I can confidently recommend him for your Lasik procedure.",5.0
7,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Dr Mullie est exceptionnel et ses résultats aussi. Patient, à l’écoute et extrêmement méticuleux; il a su me rassurer avant et pendant l’intervention. Sa prise en charge est complète. Pointilleux et à la hauteur de sa réputation.

Merci beaucoup Dr. Mullie

Cécilia",5.0
8,Dr. Marc Mullie,Ophthalmologist,4.9,267,"J'ai eu la chirurgie PRK because my cornea was too thin for LASIK and borderline for KPR in 2016 et ça a été la meilleure décision de ma vie! Dr. Mullie et toute son équipe sont vraiment attentionnés et compétents. Mes yeux ont guérit facilement après quelques semaines, c'est comme si je n'avais jamais été myope! J'ai eu, pendant des années, une vision 20/20. Today, 7 ans plus tard, je vois encore bien. Ma vision a légèrement changée et on m'a proposé de faire des retouches en m'expliquant les risques et bénéfices, ce qui m'a permis de faire un choix informé (qui a été de ne pas faire de procédures supplémentaires étant donné que j'étais très près la marge d'erreur du PRK)

Je recommande Dr. Mullie à tout le monde c'est le meilleur que vous pouvez trouver. Excellent service, excellent suivis.",5.0
9,Dr. Marc Mullie,Ophthalmologist,4.9,267,"Je suis retourné voir Dr. Mullie après quelques années pour faire honorer une garantie à vie sur une opération au laser car j'ai un oeil qui ne voit vraiment plus bien de loin. Au lieu de m'offrir le même service que celui lors de mon opération, Dr. Mullie avait l'air complètement désintéressé par mon cas et était visiblement impatient, voir même irrité par mes inquiétudes. À un certain moment, j'avais même l'impression de le déranger. Donc, après m'avoir évidemment fait payer 100$ pour cette ""consultation"", je suis retourné chez moi avec une ordonnance pour une paire de lunettes tout en ne sachant pas trop pourquoi m'avoir confirmé que j'avais encore une excellente vue (au delà de la norme) alors que mon oeil problématique ne réussi même plus à lire les menus sur un grand tableau d'affichage de restaurant. En résumé et selon mon expérience personnelle, lorsque vous payez votre première opération, lui et l'entièreté de son équipe seront aux petits soins avec vous. Service A1. Mais n'essayez surtout pas de faire honorer une garantie quelques années plus tard, car tout semblera être un bon prétexte pour ne plus donner suite.",4.0
